orig.ident	CompositionCluster_CC	cell_type	median_ct_prop
S20-5578-A4	CC6	iCAF	0.486795516013286
S20-5578-A4	CC6	mast_cells	0.000167001797843251
S20-5578-A4	CC6	myCAF	0.0186624102086339
S20-5578-A4	CC7	Bcell	6.67878946159428e-05
S20-5578-A4	CC7	C1Q_TAMs	0.0322437726276566
S20-5578-A4	CC7	CD4_conv	6.68493694435231e-05
S20-5578-A4	CC7	CD8_NK	6.94727334702057e-05
S20-5578-A4	CC7	Dendritic_cells	0.00182487248878457
S20-5578-A4	CC7	Endothelial	0.0550121355440508
S20-5578-A4	CC7	FCN1_TAMs	5.08073290335972e-05
S20-5578-A4	CC7	Normal_epithelium	4.88264876120639e-05
S20-5578-A4	CC7	PVL	0.581432766210413
S20-5578-A4	CC7	SPP1_TAMs	6.06974880019735e-05
S20-5578-A4	CC7	Tregs	7.0001358069431e-05
S20-5578-A4	CC7	Tumor_epithelium	4.97869071695334e-05
S20-5578-A4	CC7	iCAF	0.101316317053582
S20-5578-A4	CC7	mast_cells	0.00934350002125141
S20-5578-A4	CC7	myCAF	0.155404074017098
S20-5578-A4	CC8	Bcell	0.0109290002084938
S20-5578-A4	CC8	C1Q_TAMs	0.048330782110108
S20-5578-A4	CC8	CD4_conv	0.000395187354014473
S20-5578-A4	CC8	CD8_NK	0.00090697760364353
S20-5578-A4	CC8	Dendritic_cells	0.00667744103899225
S20-5578-A4	CC8	Endothelial	0.15912565704681
S20-5578-A4	CC8	FCN1_TAMs	0.000462542097138548
S20-5578-A4	CC8	Normal_epithelium	0.000509495547127183
S20-5578-A4	CC8	PVL	0.177601391361014
S20-5578-A4	CC8	SPP1_TAMs	0.000335928289637448
S20-5578-A4	CC8	Tregs	0.000807795515355648
S20-5578-A4	CC8	Tumor_epithelium	0.000635588021672414
S20-5578-A4	CC8	iCAF	0.221477150319847
S20-5578-A4	CC8	mast_cells	0.0106974990732044
S20-5578-A4	CC8	myCAF	0.0810930078861496
S20-5578-A4	CC9	Bcell	4.20623269609893e-05
S20-5578-A4	CC9	C1Q_TAMs	0.000504822549643033
S20-5578-A4	CC9	CD4_conv	0.00131948504993412
S20-5578-A4	CC9	CD8_NK	6.68601041929766e-05
S20-5578-A4	CC9	Dendritic_cells	0.000112184012294645
S20-5578-A4	CC9	Endothelial	0.0173749222155814
S20-5578-A4	CC9	FCN1_TAMs	0.00242507597229243
S20-5578-A4	CC9	Normal_epithelium	8.74208611681835e-05
S20-5578-A4	CC9	PVL	0.00322707321429272
S20-5578-A4	CC9	SPP1_TAMs	6.21337678022385e-05
S20-5578-A4	CC9	Tregs	0.000247844691635899
S20-5578-A4	CC9	Tumor_epithelium	0.937139191141587
S20-5578-A4	CC9	iCAF	0.00269392348020562
S20-5578-A4	CC9	mast_cells	0.000397881048109643
S20-5578-A4	CC9	myCAF	0.0104751526612847
S20-6967-D7	CC1	Bcell	0.255997289275591
S20-6967-D7	CC1	C1Q_TAMs	0.0586732093696146
S20-6967-D7	CC1	CD4_conv	0.176214740261704
S20-6967-D7	CC1	CD8_NK	5.41456931477159e-05
S20-6967-D7	CC1	Dendritic_cells	0.0519971237104758
S20-6967-D7	CC1	Endothelial	0.0471916166440601
S20-6967-D7	CC1	FCN1_TAMs	7.83764152378416e-05
S20-6967-D7	CC1	Normal_epithelium	0.023545036564204
S20-6967-D7	CC1	PVL	0.00731199092513567
S20-6967-D7	CC1	SPP1_TAMs	7.33741679969225e-05
S20-6967-D7	CC1	Tregs	0.0226597821822889
S20-6967-D7	CC1	Tumor_epithelium	7.33741682659214e-05
S20-6967-D7	CC1	iCAF	0.0734485169492708
S20-6967-D7	CC1	mast_cells	0.00426735865709408
S20-6967-D7	CC1	myCAF	0.013988410422188
S20-6967-D7	CC10	Bcell	0.0064868811590486
S20-6967-D7	CC10	C1Q_TAMs	0.00930424021050987
S20-6967-D7	CC10	CD4_conv	8.72021495356272e-05
S20-6967-D7	CC10	CD8_NK	0.00196942170496536
S20-6967-D7	CC10	Dendritic_cells	0.00485756269157239
S20-6967-D7	CC10	Endothelial	0.0548918738810061
S20-6967-D7	CC10	FCN1_TAMs	0.00589949497065576
S20-6967-D7	CC10	Normal_epithelium	0.636875347008302
S20-6967-D7	CC10	PVL	0.0020143145981261
S20-6967-D7	CC10	SPP1_TAMs	0.000113198074287603
S20-6967-D7	CC10	Tregs	0.00663762642205932
S20-6967-D7	CC10	Tumor_epithelium	0.0854538623039744
S20-6967-D7	CC10	iCAF	0.0458382022168017
S20-6967-D7	CC10	mast_cells	0.00359093691659743
S20-6967-D7	CC10	myCAF	0.0182936564594915
S20-6967-D7	CC2	Bcell	0.00292272441125544
S20-6967-D7	CC2	C1Q_TAMs	0.0433648985210136
S20-6967-D7	CC2	CD4_conv	0.0230610426276422
S20-6967-D7	CC2	CD8_NK	0.000192798263447309
S20-6967-D7	CC2	Dendritic_cells	0.024969146958399
S20-6967-D7	CC2	Endothelial	0.113150334521114
