Genes	Subtype
ASPH	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
ZFP36L2	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
MARCKS	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
LSM5	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
HSPA1B	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
PPP1R14B	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
MSMO1	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
CYR61	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
CEBPB	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
CTNNA1	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
DNAJC10	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
EMB	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
CLIC6	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
TSTD1	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
RFLNB	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
EMP1	Basal:AziziLabs
TAGLN	Basal:AziziLabs
TTYH1	Basal:AziziLabs
RTN4	Basal:AziziLabs
TK1	Basal:AziziLabs
BUB3	Basal:AziziLabs
IGLV3.25	Basal:AziziLabs
FAM3C	Basal:AziziLabs
TMEM123	Basal:AziziLabs
KDM5B	Basal:AziziLabs
KRT14	Basal:AziziLabs
ALG3	Basal:AziziLabs
KLK6	Basal:AziziLabs
EEF2	Basal:AziziLabs
NSMCE4A	Basal:AziziLabs
LYST	Basal:AziziLabs
DEDD	Basal:AziziLabs
HLA.DRA	Basal:AziziLabs
PAPOLA	Basal:AziziLabs
SOX4	Basal:AziziLabs
ACTR3B	Basal:AziziLabs
EIF3D	Basal:AziziLabs
CACYBP	Basal:AziziLabs
RARRES1	Basal:AziziLabs
STRA13	Basal:AziziLabs
MFGE8	Basal:AziziLabs
FRZB	Basal:AziziLabs
SDHD	Basal:AziziLabs
UCHL1	Basal:AziziLabs
TMEM176A	Basal:AziziLabs
CAV2	Basal:AziziLabs
MARCO	Basal:AziziLabs
P4HB	Basal:AziziLabs
CHI3L2	Basal:AziziLabs
APOE	Basal:AziziLabs
ATP1B1	Basal:AziziLabs
C6orf15	Basal:AziziLabs
KRT6B	Basal:AziziLabs
TAF1D	Basal:AziziLabs
ACTA2	Basal:AziziLabs
LY6D	Basal:AziziLabs
SAA2	Basal:AziziLabs
CYP27A1	Basal:AziziLabs
DLK1	Basal:AziziLabs
IGKV1.5	Basal:AziziLabs
CENPW	Basal:AziziLabs
RAB18	Basal:AziziLabs
TNFRSF11B	Basal:AziziLabs
VPS28	Basal:AziziLabs
HULC	Basal:AziziLabs
KRT16	Basal:AziziLabs
CDKN2A	Basal:AziziLabs
AHNAK2	Basal:AziziLabs
SEC22B	Basal:AziziLabs
CDC42EP1	Basal:AziziLabs
HMGA1	Basal:AziziLabs
CAV1	Basal:AziziLabs
BAMBI	Basal:AziziLabs
TOMM22	Basal:AziziLabs
ATP6V0E2	Basal:AziziLabs
MTCH2	Basal:AziziLabs
PRSS21	Basal:AziziLabs
HDAC2	Basal:AziziLabs
ZG16B	Basal:AziziLabs
GAL	Basal:AziziLabs
SCGB1D2	Basal:AziziLabs
S100A2	Basal:AziziLabs
GSPT1	Basal:AziziLabs
ARPC1B	Basal:AziziLabs
NIT1	Basal:AziziLabs
NEAT1	Basal:AziziLabs
DSC2	Basal:AziziLabs
RP1.60O19.1	Basal:AziziLabs
MAL2	Basal:AziziLabs
TMEM176B	Basal:AziziLabs
CYP1B1	Basal:AziziLabs
EIF3L	Basal:AziziLabs
FKBP4	Basal:AziziLabs
WFDC2	Basal:AziziLabs
SAA1	Basal:AziziLabs
CXCL17	Basal:AziziLabs
PFDN2	Basal:AziziLabs
UCP2	Basal:AziziLabs
RAB11B	Basal:AziziLabs
FDCSP	Basal:AziziLabs
