Genes	Subtype
RBBP7	B cells 3:Raghu_Kalluri
RANBP1	B cells 3:Raghu_Kalluri
PMF1	B cells 3:Raghu_Kalluri
BLVRB	B cells 3:Raghu_Kalluri
MRPL18	B cells 3:Raghu_Kalluri
TXN1	B cells 3:Raghu_Kalluri
YEATS4	B cells 3:Raghu_Kalluri
EED	B cells 3:Raghu_Kalluri
RBM38	B cells 3:Raghu_Kalluri
SRSF2	B cells 3:Raghu_Kalluri
RBBP4	B cells 3:Raghu_Kalluri
HNRNPA3	B cells 3:Raghu_Kalluri
CSK	B cells 3:Raghu_Kalluri
HNRNPA2B1	B cells 3:Raghu_Kalluri
HNRNPA1	B cells 3:Raghu_Kalluri
NUCKS1	B cells 3:Raghu_Kalluri
CD37	B cells 3:Raghu_Kalluri
SRSF7	B cells 3:Raghu_Kalluri
NUBP1	B cells 3:Raghu_Kalluri
SNRNP25	B cells 3:Raghu_Kalluri
DAZAP1	B cells 3:Raghu_Kalluri
PPP1CC	B cells 3:Raghu_Kalluri
SUMO2	B cells 3:Raghu_Kalluri
CNP	B cells 3:Raghu_Kalluri
IMPDH2	B cells 3:Raghu_Kalluri
U2AF1	B cells 3:Raghu_Kalluri
EXOSC8	B cells 3:Raghu_Kalluri
BUB3	B cells 3:Raghu_Kalluri
SSRP1	B cells 3:Raghu_Kalluri
UCP2	B cells 3:Raghu_Kalluri
PHGDH	B cells 3:Raghu_Kalluri
CD74	B cells 3:Raghu_Kalluri
RHOH	B cells 3:Raghu_Kalluri
PPP4R2	B cells 3:Raghu_Kalluri
CORO1A	B cells 3:Raghu_Kalluri
SET	B cells 3:Raghu_Kalluri
HPRT	B cells 3:Raghu_Kalluri
YBX1	B cells 3:Raghu_Kalluri
PPP1CA	B cells 3:Raghu_Kalluri
CALM3	B cells 3:Raghu_Kalluri
H2-AB1	B cells 3:Raghu_Kalluri
HSP90AA1	B cells 3:Raghu_Kalluri
CISD1	B cells 3:Raghu_Kalluri
TNFAIP8	B cells 3:Raghu_Kalluri
SFPQ	B cells 3:Raghu_Kalluri
GDI2	B cells 3:Raghu_Kalluri
EWSR1	B cells 3:Raghu_Kalluri
PPP1R16B	B cells 3:Raghu_Kalluri
LSM4	B cells 3:Raghu_Kalluri
SNRPG	B cells 3:Raghu_Kalluri
MRPS7	B cells 3:Raghu_Kalluri
UBE2D2A	B cells 3:Raghu_Kalluri
NPM1	B cells 3:Raghu_Kalluri
H2-EB1	B cells 3:Raghu_Kalluri
PA2G4	B cells 3:Raghu_Kalluri
H2-OB	B cells 3:Raghu_Kalluri
ATP5B	B cells 3:Raghu_Kalluri
UBE2N	B cells 3:Raghu_Kalluri
TCP1	B cells 3:Raghu_Kalluri
PRDX1	B cells 3:Raghu_Kalluri
APOBEC3	B cells 3:Raghu_Kalluri
PFN1	B cells 3:Raghu_Kalluri
RPL28	B cells 3:Raghu_Kalluri
HNRNPK	B cells 3:Raghu_Kalluri
H2-DMA	B cells 3:Raghu_Kalluri
H2-AA	B cells 3:Raghu_Kalluri
GM30211	B cells 3:Raghu_Kalluri
CBX3	B cells 3:Raghu_Kalluri
HNRNPF	B cells 3:Raghu_Kalluri
TCF3	B cells 3:Raghu_Kalluri
NCL	B cells 3:Raghu_Kalluri
SRSF1	B cells 3:Raghu_Kalluri
HNRNPD	B cells 3:Raghu_Kalluri
SIAH2	B cells 3:Raghu_Kalluri
NONO	B cells 3:Raghu_Kalluri
SNRPB	B cells 3:Raghu_Kalluri
PSMA1	B cells 3:Raghu_Kalluri
MTSS1	B cells 3:Raghu_Kalluri
PSMB9	B cells 3:Raghu_Kalluri
DOK3	B cells 3:Raghu_Kalluri
FUNDC2	B cells 3:Raghu_Kalluri
CLIC1	B cells 3:Raghu_Kalluri
ZFP706	B cells 3:Raghu_Kalluri
SNRPF	B cells 3:Raghu_Kalluri
SERBP1	B cells 3:Raghu_Kalluri
ACTG1	B cells 3:Raghu_Kalluri
EIF1AX	B cells 3:Raghu_Kalluri
MAGOH	B cells 3:Raghu_Kalluri
PSMB8	B cells 3:Raghu_Kalluri
MDH1	B cells 3:Raghu_Kalluri
