Genes	Subtypes
CXCR6	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
CD8B	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
PRSS1	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
XCL1	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
CYTIP	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
CD7	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
ID2	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
LINC01871	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
SARAF	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
NFKBIA	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
RGS1	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
TPT1	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
PIK3IP1	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
LGALS3	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
S100A4	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
JAML	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
CCNH	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
CD96	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
HERPUD1	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
CLPS	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
PARP8	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
DUSP1	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
DDIT4	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
LEPROTL1	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
MALAT1	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
FKBP11	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
EEF1A1	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
CPB1	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
PRSS2	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
HIST1H4C	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
